Date : 2025-04-22 13:44:20
Directory : /home/ehosta/Documents/42-minishell
Total : 147 files,  4676 codes, 1830 comments, 860 blanks, all 7366 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |        129 |      4,150 |      1,573 |        697 |      6,420 |
| Makefile |          3 |        258 |         40 |         56 |        354 |
| C++      |         12 |        183 |        217 |         71 |        471 |
| Markdown |          3 |         85 |          0 |         36 |        121 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                             |        147 |      4,676 |      1,830 |        860 |      7,366 |
| . (Files)                                                                     |          3 |        174 |         18 |         75 |        267 |
| include                                                                       |          1 |        261 |        157 |         43 |        461 |
| lib                                                                           |         90 |      1,767 |      1,068 |        410 |      3,245 |
| lib (Files)                                                                   |          3 |        169 |         22 |         17 |        208 |
| lib/include                                                                   |         14 |        211 |        243 |         80 |        534 |
| lib/src                                                                       |         73 |      1,387 |        803 |        313 |      2,503 |
| lib/src/array                                                                 |         14 |        325 |        154 |         67 |        546 |
| lib/src/fd                                                                    |          6 |         69 |         66 |         21 |        156 |
| lib/src/free                                                                  |          3 |         22 |         33 |         10 |         65 |
| lib/src/get_next_line                                                         |          1 |         87 |         11 |         11 |        109 |
| lib/src/is                                                                    |          8 |         53 |         88 |         25 |        166 |
| lib/src/lst                                                                   |          9 |        113 |         99 |         31 |        243 |
| lib/src/math                                                                  |          3 |         18 |         33 |          9 |         60 |
| lib/src/mem                                                                   |          8 |        112 |         88 |         33 |        233 |
| lib/src/misc                                                                  |          1 |         25 |         11 |          4 |         40 |
| lib/src/printf                                                                |          1 |         92 |         11 |         12 |        115 |
| lib/src/str                                                                   |         15 |        368 |        165 |         71 |        604 |
| lib/src/to                                                                    |          4 |        103 |         44 |         19 |        166 |
| src                                                                           |         53 |      2,474 |        587 |        332 |      3,393 |
| src (Files)                                                                   |          1 |        174 |         22 |         16 |        212 |
| src/builtins                                                                  |          7 |        225 |         77 |         37 |        339 |
| src/env_manager                                                               |          3 |        146 |         33 |         21 |        200 |
| src/errors                                                                    |          2 |         28 |         22 |          6 |         56 |
| src/exec                                                                      |         13 |        664 |         77 |         76 |        817 |
| src/exec/heredoc                                                              |          1 |         14 |         11 |          4 |         29 |
| src/exec/init                                                                 |          3 |        225 |         33 |         26 |        284 |
| src/exec/process                                                              |          4 |        207 |         33 |         22 |        262 |
| src/exec/timeline                                                             |          5 |        218 |          0 |         24 |        242 |
| src/memory                                                                    |          2 |         81 |         22 |         12 |        115 |
| src/misc                                                                      |          3 |        230 |         49 |         22 |        301 |
| src/parsing                                                                   |          7 |        616 |        128 |         75 |        819 |
| src/parsing/lexer                                                             |          3 |        249 |         46 |         33 |        328 |
| src/parsing/tokenizer                                                         |          4 |        367 |         82 |         42 |        491 |
| src/utils                                                                     |         15 |        310 |        157 |         67 |        534 |
| src/utils (Files)                                                             |          2 |         81 |         22 |         15 |        118 |
| src/utils/parsing                                                             |         13 |        229 |        135 |         52 |        416 |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                      | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/ehosta/Documents/42-minishell/CONTRIBUTING.md                           | Markdown |         67 |          0 |         28 |         95 |
| /home/ehosta/Documents/42-minishell/Makefile                                  | Makefile |         93 |         18 |         41 |        152 |
| /home/ehosta/Documents/42-minishell/README.md                                 | Markdown |         14 |          0 |          6 |         20 |
| /home/ehosta/Documents/42-minishell/include/minishell.h                       | C        |        261 |        157 |         43 |        461 |
| /home/ehosta/Documents/42-minishell/lib/Makefile                              | Makefile |         38 |         11 |         11 |         60 |
| /home/ehosta/Documents/42-minishell/lib/README.md                             | Markdown |          4 |          0 |          2 |          6 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_array.h                    | C++      |         37 |         11 |          6 |         54 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_base.h                     | C++      |         33 |         11 |          6 |         50 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_fd.h                       | C++      |         11 |         61 |         10 |         82 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_free.h                     | C++      |          7 |         11 |          4 |         22 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_is.h                       | C++      |         12 |         38 |         12 |         62 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_lst.h                      | C++      |         19 |         11 |          6 |         36 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_math.h                     | C++      |          6 |         11 |          3 |         20 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_mem.h                      | C        |         12 |         15 |          5 |         32 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_misc.h                     | C++      |          4 |         11 |          3 |         18 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_printf.h                   | C++      |         10 |         11 |          6 |         27 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_str.h                      | C++      |         21 |         11 |          5 |         37 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_to.h                       | C++      |         11 |         11 |          5 |         27 |
| /home/ehosta/Documents/42-minishell/lib/include/get_next_line.h               | C++      |         12 |         19 |          5 |         36 |
| /home/ehosta/Documents/42-minishell/lib/include/libft.h                       | C        |         16 |         11 |          4 |         31 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_clear.c            | C        |         14 |         11 |          3 |         28 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_cpy.c              | C        |         49 |         11 |          9 |         69 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_fill.c             | C        |         21 |         11 |          7 |         39 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_getmax.c           | C        |         16 |         11 |          4 |         31 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_getmin.c           | C        |         16 |         11 |          4 |         31 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_getpos.c           | C        |         14 |         11 |          4 |         29 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_getsorted.c        | C        |         27 |         11 |          4 |         42 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_getval.c           | C        |         20 |         11 |          4 |         35 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_issorted.c         | C        |         13 |         11 |          4 |         28 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_new.c              | C        |         22 |         11 |          4 |         37 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_popint.c           | C        |         23 |         11 |          4 |         38 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_posdist.c          | C        |         21 |         11 |          4 |         36 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_prints.c           | C        |         51 |         11 |          8 |         70 |
