Date : 2025-04-22 15:18:28
Directory : /home/ehosta/Documents/42-minishell/src
Total : 107 files,  -2205 codes, -1243 comments, -518 blanks, all -3966 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Markdown |          3 |        -85 |          0 |        -36 |       -121 |
| C++      |         12 |       -183 |       -217 |        -71 |       -471 |
| Makefile |          3 |       -258 |        -40 |        -56 |       -354 |
| C        |         89 |     -1,679 |       -986 |       -355 |     -3,020 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                         |        107 |     -2,205 |     -1,243 |       -518 |     -3,966 |
| . (Files)                                                                 |          1 |          1 |          0 |          0 |          1 |
| ..                                                                        |         94 |     -2,202 |     -1,243 |       -528 |     -3,973 |
| .. (Files)                                                                |          3 |       -174 |        -18 |        -75 |       -267 |
| ../include                                                                |          1 |       -261 |       -157 |        -43 |       -461 |
| ../lib                                                                    |         90 |     -1,767 |     -1,068 |       -410 |     -3,245 |
| ../lib (Files)                                                            |          3 |       -169 |        -22 |        -17 |       -208 |
| ../lib/include                                                            |         14 |       -211 |       -243 |        -80 |       -534 |
| ../lib/src                                                                |         73 |     -1,387 |       -803 |       -313 |     -2,503 |
| ../lib/src/array                                                          |         14 |       -325 |       -154 |        -67 |       -546 |
| ../lib/src/fd                                                             |          6 |        -69 |        -66 |        -21 |       -156 |
| ../lib/src/free                                                           |          3 |        -22 |        -33 |        -10 |        -65 |
| ../lib/src/get_next_line                                                  |          1 |        -87 |        -11 |        -11 |       -109 |
| ../lib/src/is                                                             |          8 |        -53 |        -88 |        -25 |       -166 |
| ../lib/src/lst                                                            |          9 |       -113 |        -99 |        -31 |       -243 |
| ../lib/src/math                                                           |          3 |        -18 |        -33 |         -9 |        -60 |
| ../lib/src/mem                                                            |          8 |       -112 |        -88 |        -33 |       -233 |
| ../lib/src/misc                                                           |          1 |        -25 |        -11 |         -4 |        -40 |
| ../lib/src/printf                                                         |          1 |        -92 |        -11 |        -12 |       -115 |
| ../lib/src/str                                                            |         15 |       -368 |       -165 |        -71 |       -604 |
| ../lib/src/to                                                             |          4 |       -103 |        -44 |        -19 |       -166 |
| builtins                                                                  |          4 |         -9 |          0 |          0 |         -9 |
| errors                                                                    |          1 |         -7 |        -11 |         -3 |        -21 |
| exec                                                                      |          5 |          4 |          0 |          1 |          5 |
| exec/init                                                                 |          1 |         -1 |          0 |          0 |         -1 |
| exec/process                                                              |          2 |        -21 |          0 |         -2 |        -23 |
| exec/timeline                                                             |          2 |         26 |          0 |          3 |         29 |
| misc                                                                      |          1 |         -1 |          0 |          0 |         -1 |
| parsing                                                                   |          1 |          9 |         11 |         12 |         32 |
| parsing/tokenizer                                                         |          1 |          9 |         11 |         12 |         32 |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                  | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/ehosta/Documents/42-minishell/CONTRIBUTING.md                       | Markdown |        -67 |          0 |        -28 |        -95 |
| /home/ehosta/Documents/42-minishell/Makefile                              | Makefile |        -93 |        -18 |        -41 |       -152 |
| /home/ehosta/Documents/42-minishell/README.md                             | Markdown |        -14 |          0 |         -6 |        -20 |
| /home/ehosta/Documents/42-minishell/include/minishell.h                   | C        |       -261 |       -157 |        -43 |       -461 |
| /home/ehosta/Documents/42-minishell/lib/Makefile                          | Makefile |        -38 |        -11 |        -11 |        -60 |
| /home/ehosta/Documents/42-minishell/lib/README.md                         | Markdown |         -4 |          0 |         -2 |         -6 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_array.h                | C++      |        -37 |        -11 |         -6 |        -54 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_base.h                 | C++      |        -33 |        -11 |         -6 |        -50 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_fd.h                   | C++      |        -11 |        -61 |        -10 |        -82 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_free.h                 | C++      |         -7 |        -11 |         -4 |        -22 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_is.h                   | C++      |        -12 |        -38 |        -12 |        -62 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_lst.h                  | C++      |        -19 |        -11 |         -6 |        -36 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_math.h                 | C++      |         -6 |        -11 |         -3 |        -20 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_mem.h                  | C        |        -12 |        -15 |         -5 |        -32 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_misc.h                 | C++      |         -4 |        -11 |         -3 |        -18 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_printf.h               | C++      |        -10 |        -11 |         -6 |        -27 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_str.h                  | C++      |        -21 |        -11 |         -5 |        -37 |
| /home/ehosta/Documents/42-minishell/lib/include/ft_to.h                   | C++      |        -11 |        -11 |         -5 |        -27 |
| /home/ehosta/Documents/42-minishell/lib/include/get_next_line.h           | C++      |        -12 |        -19 |         -5 |        -36 |
| /home/ehosta/Documents/42-minishell/lib/include/libft.h                   | C        |        -16 |        -11 |         -4 |        -31 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_clear.c        | C        |        -14 |        -11 |         -3 |        -28 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_cpy.c          | C        |        -49 |        -11 |         -9 |        -69 |
